codecli;societe;contact;fonction;adresse;ville;region;codepostal;pays;tel;fax
RANCH;Rancho grande;Sergio GutiÇrrez;ReprÇsentant(e);Av. del Libertador 900;Buenos Aires;unknown_value_please_contact_support;1010;Argentine;(1) 123-5555;(1) 123-5556
RATTC;Rattlesnake Canyon Grocery;Paula Wilson;ReprÇsentant(e);2817 Milton Dr.;Albuquerque;NM;87110;Etats-Unis;(505) 555-5939;(505) 555-3620
REGGC;Reggiani Caseifici;Maurizio Moroni;Assistant(e) des ventes;Strada Provinciale 124;Reggio Emilia;unknown_value_please_contact_support;42100;Italie;0522-556721;0522-556722
RICAR;Ricardo Adocicados;Janete Limeira;ReprÇsentant(e);Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;BrÇsil;(21) 555-3412;unknown_value_please_contact_support
RICSU;Richter Supermarkt;Michael Holz;Chef des ventes;Grenzacherweg 237;Genäve;unknown_value_please_contact_support;1203;Suisse;0897-034214;unknown_value_please_contact_support
ROMEY;Romero y tomillo;Alejandra Camino;Chef comptable;Gran V°a, 1;Madrid;unknown_value_please_contact_support;28001;Espagne;(91) 745 6200;(91) 745 6210
SANTG;SantÇ Gourmet;Jonas Bergulfsen;PropriÇtaire;Erling Skakkes gate 78;Stavern;unknown_value_please_contact_support;4110;Norväge;07-98 92 35;07-98 92 47
SAVEA;Save-a-lot Markets;Jose Pavarotti;ReprÇsentant(e);187 Suffolk Ln.;Boise;ID;83720;Etats-Unis;(208) 555-8097;unknown_value_please_contact_support
SEVES;Seven Seas Imports;Hari Kumar;Chef des ventes;90 Wadhurst Rd.;London;unknown_value_please_contact_support;OX15 4NB;Royaume-Uni;(71) 555-1717;(71) 555-5646
SIMOB;Simons bistro;Jytte Petersen;PropriÇtaire;Vinbëltet 34;Kõbenhavn;unknown_value_please_contact_support;1734;Danemark;31 12 34 56;31 13 35 57
SPECD;SpÇcialitÇs du monde;Dominique Perrier;Directeur du marketing;25, rue Lauriston;Paris;unknown_value_please_contact_support;75016;France;(1) 47.55.60.10;(1) 47.55.60.20
SPLIR;Split Rail Beer & Ale;Art Braunschweiger;Chef des ventes;P.O. Box 555;Lander;WY;82520;Etats-Unis;(307) 555-4680;(307) 555-6525
SUPRD;Supràmes dÇlices;Pascale Cartrain;Chef comptable;Boulevard Tirou, 255;Charleroi;unknown_value_please_contact_support;B-6000;Belgique;(071) 23 67 22 20;(071) 23 67 22 21
THEBI;The Big Cheese;Liz Nixon;Directeur du marketing;89 Jefferson Way  Suite 2;Portland;OR;97201;Etats-Unis;(503) 555-3612;unknown_value_please_contact_support
THECR;The Cracker Box;Liu Wong;Assistant(e) marketing;55 Grizzly Peak Rd.;Butte;MT;59801;Etats-Unis;(406) 555-5834;(406) 555-8083
TOMSP;Toms SpezialitÑten;Karin Josephs;Directeur du marketing;Luisenstr. 48;MÅnster;unknown_value_please_contact_support;44087;Allemagne;0251-031259;0251-035695
TORTU;Tortuga Restaurante;Miguel Angel Paolino;PropriÇtaire;Avda. Azteca 123;MÇxico D.F.;unknown_value_please_contact_support;5033;Mexique;(5) 555-2933;unknown_value_please_contact_support
TRADH;Tradiá∆o Hipermercados;Anabela Domingues;ReprÇsentant(e);Av. Inàs de Castro, 414;S∆o Paulo;SP;05634-030;BrÇsil;(11) 555-2167;(11) 555-2168
TRAIH;Trails Head Gourmet Provisioners;Helvetius Nagy;Assistant(e) des ventes;722 DaVinci Blvd.;Kirkland;WA;98034;Etats-Unis;(206) 555-8257;(206) 555-2174
VAFFE;Vaffeljernet;Palle Ibsen;Chef des ventes;Smagslõget 45;èrhus;unknown_value_please_contact_support;8200;Danemark;86 21 32 43;86 22 33 44
VICTE;Victuailles en stock;Mary Saveley;Assistant(e) des ventes;2, rue du Commerce;Lyon;unknown_value_please_contact_support;69004;France;78.32.54.86;78.32.54.87
VINET;Vins et alcools Chevalier;Paul Henriot;Chef comptable;59 rue de lAbbaye;Reims;unknown_value_please_contact_support;51100;France;26.47.15.10;26.47.15.11
WANDK;Die Wandernde Kuh;Rita MÅller;ReprÇsentant(e);Adenauerallee 900;Stuttgart;unknown_value_please_contact_support;70563;Allemagne;0711-020361;0711-035428
WARTH;Wartian Herkku;Pirkko Koskitalo;Chef comptable;Torikatu 38;Oulu;unknown_value_please_contact_support;90110;Finlande;981-443655;981-443655
WELLI;Wellington Importadora;Paula Parente;Chef des ventes;Rua do Mercado, 12;Resende;SP;08737-363;BrÇsil;(14) 555-8122;unknown_value_please_contact_support
WHITC;White Clover Markets;Karl Jablonski;PropriÇtaire;305 - 14th Ave. S.  Suite 3B;Seattle;WA;98128;Etats-Unis;(206) 555-4112;(206) 555-4115
WILMK;Wilman Kala;Matti Karttunen;Assistant du marketing;Keskuskatu 45;Helsinki;unknown_value_please_contact_support;21240;Finlande;90-224 8858;90-224 8858
WOLZA;Wolski  Zajazd;Zbyszek Piestrzeniewicz;PropriÇtaire;ul. Filtrowa 68;Warszawa;unknown_value_please_contact_support;01-012;Pologne;(26) 642-7012;(26) 642-7012
