nofour;societe;contact;fonction;adresse;ville;region;codepostal;pays;tel;fax;pageaccueil
18;Aux joyeux ecclÇsiastiques;Guyläne Nodier;Chef des ventes;203, Rue des Francs-Bourgeois;Paris;unknown_value_please_contact_support;75004;France;(1) 03.83.00.68;(1) 03.83.00.62;unknown_value_please_contact_support
19;New England Seafood Cannery;Robb Merchant;Responsable de zone;Order Processing Dept.  2100 Paul Revere Blvd.;Boston;MA;2134;Etats-Unis;(617) 555-3267;(617) 555-3389;unknown_value_please_contact_support
20;Leka Trading;Chandra Leka;PropriÇtaire;471 Serangoon Loop, Suite #402;Singapore;unknown_value_please_contact_support;512;Singapour;555-8787;unknown_value_please_contact_support;unknown_value_please_contact_support
21;Lyngbysild;Niels Petersen;Chef des ventes;Lyngbysild  Fiskebakken 10;Lyngby;unknown_value_please_contact_support;2800;Danemark;43844108;43844115;unknown_value_please_contact_support
22;Zaanse Snoepfabriek;Dirk Luchte;Chef comptable;Verkoop  Rijnweg 22;Zaandam;unknown_value_please_contact_support;9999 ZZ;Pays-Bas;(12345)1212;(12345) 1210;unknown_value_please_contact_support
23;Karkki Oy;Anne Heikkonen;Chef de produit;Valtakatu 12;Lappeenranta;unknown_value_please_contact_support;53120;Finlande;(953) 10956;unknown_value_please_contact_support;unknown_value_please_contact_support
24;Gday, Mate;Wendy Mackenzie;ReprÇsentant(e);170 Prince Edward Parade  Hunters Hill;Sydney;NSW;2042;Australie;unknown_value_please_contact_support;(02) 555-4873;Gday Mate (sur le World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#
25;Ma Maison;Jean-Guy Lauzon;Directeur du marketing;2960 Rue St. Laurent;MontrÇal;QuÇbec;H1J 1C3;Canada;(514) 555-9022;unknown_value_please_contact_support;unknown_value_please_contact_support
26;Pasta Buttini s.r.l.;Giovanni Giudici;Acheteur;Via dei Gelsomini, 153;Salerno;unknown_value_please_contact_support;84100;Italie;(089) 6547665;(089) 6547667;unknown_value_please_contact_support
27;Escargots Nouveaux;Marie Delamare;Chef des ventes;22, rue H. Voiron;Montceau;unknown_value_please_contact_support;71300;France;85.57.00.07;unknown_value_please_contact_support;unknown_value_please_contact_support
28;Gai pÉturage;Eliane Noz;ReprÇsentant(e);Bat. B  3, rue des Alpes;Annecy;unknown_value_please_contact_support;74000;France;38.76.98.06;38.76.98.58;unknown_value_please_contact_support
29;Foràts dÇrables;Chantal Goulet;Chef comptable;148 rue Chasseur;Ste-Hyacinthe;QuÇbec;J2S 7S8;Canada;(514) 555-2955;(514) 555-2921;unknown_value_please_contact_support
30;Aux dÇlices normands;Danielle Hubert;Chef des ventes;45 rue de Paris;Caen;unknown_value_please_contact_support;14000;France;(1) 02.31.00.68;(1) 02.31.00.62;unknown_value_please_contact_support
31;Les caribous;Cyril Carolin;PropriÇtaire;148 rue Chasseur;RT Rachel West;QuÇbec;J3MS 7S8;Canada;(514) 356-4578;(514) 356-4579;unknown_value_please_contact_support
